     Freq.           Exact            RS              BF              PF              QWC             FC              CGF      
      119.60454         0.00121         0.00090         0.00068         0.00097         0.00076         0.00114         0.00103
      120.15068         0.00124         0.00091         0.00079         0.00099         0.00084         0.00120         0.00105
      120.69682         0.00127         0.00091         0.00090         0.00100         0.00090         0.00124         0.00105
      121.24296         0.00130         0.00090         0.00099         0.00099         0.00095         0.00125         0.00104
      121.78910         0.00132         0.00088         0.00107         0.00096         0.00099         0.00124         0.00101
      122.33524         0.00134         0.00085         0.00114         0.00093         0.00101         0.00120         0.00096
      122.88137         0.00136         0.00081         0.00120         0.00088         0.00102         0.00115         0.00090
      123.42751         0.00138         0.00077         0.00124         0.00082         0.00101         0.00107         0.00083
      123.97365         0.00140         0.00072         0.00126         0.00075         0.00098         0.00097         0.00074
      124.51979         0.00142         0.00066         0.00126         0.00067         0.00094         0.00086         0.00065
      125.06593         0.00144         0.00060         0.00125         0.00059         0.00088         0.00073         0.00056
      125.61207         0.00146         0.00055         0.00122         0.00052         0.00082         0.00060         0.00047
      126.15821         0.00148         0.00049         0.00117         0.00044         0.00074         0.00047         0.00038
      126.70435         0.00150         0.00044         0.00110         0.00037         0.00066         0.00034         0.00029
      127.25049         0.00153         0.00039         0.00103         0.00030         0.00057         0.00021         0.00021
      127.79663         0.00155         0.00036         0.00094         0.00024         0.00048         0.00010         0.00015
      128.34277         0.00159         0.00033         0.00083         0.00020         0.00039         0.00000         0.00010
      128.88891         0.00162         0.00031         0.00073         0.00016         0.00031        -0.00008         0.00006
      129.43505         0.00166         0.00030         0.00062         0.00014         0.00023        -0.00014         0.00004
      129.98119         0.00170         0.00030         0.00050         0.00014         0.00017        -0.00017         0.00004
      130.52733         0.00175         0.00031         0.00039         0.00014         0.00012        -0.00019         0.00005
      131.07347         0.00181         0.00034         0.00028         0.00017         0.00008        -0.00017         0.00008
      131.61961         0.00187         0.00037         0.00018         0.00020         0.00006        -0.00014         0.00013
      132.16575         0.00195         0.00041         0.00008         0.00025         0.00005        -0.00008         0.00019
      132.71188         0.00203         0.00046        -0.00000         0.00031         0.00006         0.00001         0.00026
      133.25802         0.00212         0.00051        -0.00007         0.00037         0.00009         0.00011         0.00034
      133.80416         0.00221         0.00057        -0.00013         0.00045         0.00013         0.00022         0.00043
      134.35030         0.00232         0.00062        -0.00017         0.00052         0.00018         0.00034         0.00052
      134.89644         0.00243         0.00068        -0.00019         0.00060         0.00025         0.00047         0.00062
      135.44258         0.00256         0.00074        -0.00019         0.00067         0.00033         0.00061         0.00070
      135.98872         0.00269         0.00079        -0.00018         0.00074         0.00041         0.00073         0.00079
      136.53486         0.00284         0.00083        -0.00014         0.00080         0.00050         0.00086         0.00086
      137.08100         0.00299         0.00087        -0.00010         0.00085         0.00059         0.00097         0.00092
      137.62714         0.00315         0.00089        -0.00003         0.00089         0.00067         0.00106         0.00097
      138.17328         0.00332         0.00091         0.00004         0.00092         0.00075         0.00113         0.00100
      138.71942         0.00349         0.00092         0.00013         0.00094         0.00083         0.00119         0.00102
      139.26556         0.00368         0.00091         0.00023         0.00094         0.00089         0.00122         0.00102
      139.81170         0.00387         0.00090         0.00033         0.00093         0.00094         0.00122         0.00100
      140.35784         0.00406         0.00088         0.00044         0.00090         0.00097         0.00120         0.00096
      140.90398         0.00426         0.00084         0.00055         0.00086         0.00099         0.00116         0.00091
      141.45012         0.00446         0.00080         0.00066         0.00081         0.00099         0.00109         0.00084
      141.99626         0.00466         0.00075         0.00077         0.00075         0.00097         0.00100         0.00077
      142.54239         0.00487         0.00070         0.00087         0.00068         0.00094         0.00090         0.00068
      143.08853         0.00507         0.00064         0.00096         0.00061         0.00089         0.00078         0.00059
      143.63467         0.00527         0.00059         0.00104         0.00053         0.00083         0.00065         0.00050
      144.18081         0.00546         0.00053         0.00110         0.00045         0.00076         0.00052         0.00040
      144.72695         0.00565         0.00048         0.00115         0.00038         0.00068         0.00038         0.00031
      145.27309         0.00583         0.00043         0.00119         0.00031         0.00059         0.00025         0.00023
      145.81923         0.00599         0.00039         0.00121         0.00025         0.00050         0.00013         0.00015
      146.36537         0.00615         0.00036         0.00121         0.00019         0.00041         0.00002         0.00009
      146.91151         0.00629         0.00034         0.00119         0.00015         0.00032        -0.00007         0.00004
      147.45765         0.00641         0.00033         0.00115         0.00012         0.00024        -0.00015         0.00001
      148.00379         0.00651         0.00033         0.00110         0.00011         0.00017        -0.00020        -0.00000
      148.54993         0.00660         0.00034         0.00104         0.00011         0.00011        -0.00023         0.00000
      149.09607         0.00666         0.00036         0.00096         0.00012         0.00006        -0.00023         0.00002
      149.64221         0.00670         0.00039         0.00087         0.00015         0.00002        -0.00021         0.00006
      150.18835         0.00671         0.00043         0.00077         0.00018         0.00001        -0.00016         0.00011
      150.73449         0.00671         0.00047         0.00066         0.00023         0.00001        -0.00009         0.00017
      151.28063         0.00667         0.00053         0.00055         0.00029         0.00002        -0.00000         0.00025
      151.82677         0.00662         0.00058         0.00044         0.00036         0.00006         0.00010         0.00034
      152.37290         0.00653         0.00064         0.00033         0.00043         0.00010         0.00022         0.00043
      152.91904         0.00643         0.00070         0.00022         0.00051         0.00016         0.00035         0.00052
      153.46518         0.00630         0.00076         0.00012         0.00058         0.00024         0.00049         0.00061
      154.01132         0.00614         0.00082         0.00003         0.00065         0.00032         0.00062         0.00070
      154.55746         0.00597         0.00087        -0.00005         0.00072         0.00041         0.00075         0.00078
      155.10360         0.00578         0.00091        -0.00011         0.00077         0.00050         0.00087         0.00085
      155.64974         0.00558         0.00094        -0.00016         0.00082         0.00059         0.00098         0.00091
      156.19588         0.00536         0.00097        -0.00020         0.00086         0.00067         0.00107         0.00095
      156.74202         0.00513         0.00098        -0.00021         0.00089         0.00075         0.00113         0.00098
      157.28816         0.00489         0.00098        -0.00021         0.00090         0.00082         0.00118         0.00099
      157.83430         0.00464         0.00098        -0.00020         0.00090         0.00088         0.00120         0.00099
      158.38044         0.00440         0.00096        -0.00016         0.00088         0.00093         0.00120         0.00096
      158.92658         0.00415         0.00093        -0.00011         0.00085         0.00096         0.00117         0.00092
      159.47272         0.00391         0.00090        -0.00004         0.00081         0.00097         0.00112         0.00087
      160.01886         0.00367         0.00086         0.00003         0.00076         0.00097         0.00104         0.00080
      160.56500         0.00344         0.00081         0.00012         0.00069         0.00094         0.00095         0.00072
      161.11114         0.00323         0.00076         0.00022         0.00063         0.00091         0.00083         0.00063
      161.65728         0.00302         0.00071         0.00033         0.00055         0.00085         0.00071         0.00053
      162.20341         0.00283         0.00065         0.00043         0.00048         0.00079         0.00058         0.00044
      162.74955         0.00266         0.00061         0.00054         0.00040         0.00071         0.00044         0.00034
      163.29569         0.00250         0.00056         0.00065         0.00033         0.00063         0.00030         0.00026
      163.84183         0.00236         0.00052         0.00075         0.00026         0.00054         0.00017         0.00017
      164.38797         0.00224         0.00049         0.00085         0.00021         0.00044         0.00005         0.00010
      164.93411         0.00214         0.00047         0.00094         0.00016         0.00035        -0.00005         0.00004
      165.48025         0.00205         0.00046         0.00101         0.00012         0.00026        -0.00014         0.00000
      166.02639         0.00198         0.00046         0.00107         0.00010         0.00018        -0.00021        -0.00003
      166.57253         0.00192         0.00047         0.00112         0.00008         0.00011        -0.00025        -0.00003
      167.11867         0.00187         0.00049         0.00115         0.00009         0.00005        -0.00027        -0.00003
      167.66481         0.00183         0.00052         0.00117         0.00010         0.00001        -0.00026        -0.00000
      168.21095         0.00181         0.00056         0.00116         0.00013        -0.00002        -0.00023         0.00004
      168.75709         0.00179         0.00061         0.00114         0.00017        -0.00003        -0.00017         0.00010
      169.30323         0.00177         0.00067         0.00110         0.00023        -0.00003        -0.00009         0.00017
      169.84937         0.00176         0.00073         0.00105         0.00029        -0.00000         0.00000         0.00025
      170.39551         0.00175         0.00079         0.00098         0.00035         0.00004         0.00012         0.00034
      170.94165         0.00174         0.00086         0.00090         0.00043         0.00009         0.00024         0.00043
      171.48779         0.00173         0.00092         0.00081         0.00050         0.00016         0.00038         0.00053
      172.03392         0.00171         0.00099         0.00071         0.00057         0.00024         0.00051         0.00062
      172.58006         0.00169         0.00105         0.00061         0.00064         0.00032         0.00065         0.00071
      173.12620         0.00166         0.00110         0.00050         0.00070         0.00041         0.00078         0.00078
      173.67234         0.00162         0.00114         0.00039         0.00076         0.00051         0.00089         0.00085
      174.21848         0.00158         0.00118         0.00028         0.00080         0.00060         0.00100         0.00091
      174.76462         0.00154         0.00121         0.00018         0.00084         0.00068         0.00108         0.00095
      175.31076         0.00148         0.00123         0.00008         0.00086         0.00076         0.00114         0.00097
      175.85690         0.00142         0.00123        -0.00001         0.00087         0.00083         0.00118         0.00098
      176.40304         0.00136         0.00123        -0.00008         0.00086         0.00089         0.00119         0.00096
      176.94918         0.00130         0.00122        -0.00014         0.00084         0.00093         0.00118         0.00093
      177.49532         0.00123         0.00121        -0.00019         0.00081         0.00095         0.00114         0.00089
      178.04146         0.00116         0.00118        -0.00022         0.00076         0.00096         0.00108         0.00083
      178.58760         0.00109         0.00115        -0.00023         0.00071         0.00095         0.00099         0.00075
      179.13374         0.00103         0.00112        -0.00023         0.00065         0.00092         0.00089         0.00067
      179.67988         0.00097         0.00109        -0.00021         0.00058         0.00088         0.00077         0.00058
      180.22602         0.00091         0.00106        -0.00017         0.00051         0.00082         0.00064         0.00048
      180.77216         0.00086         0.00103        -0.00012         0.00043         0.00075         0.00051         0.00039
      181.31830         0.00082         0.00100        -0.00005         0.00036         0.00066         0.00037         0.00029
      181.86443         0.00079         0.00099         0.00003         0.00029         0.00057         0.00023         0.00020
      182.41057         0.00076         0.00097         0.00012         0.00023         0.00048         0.00010         0.00013
      182.95671         0.00074         0.00097         0.00022         0.00017         0.00039        -0.00001         0.00006
